education_num,capital_gain,hours_per_week,sex,age,cluster
13,1092.8412024287468,40,1,39,3
13,0.0,13,1,50,0
9,0.0,40,1,38,0
7,0.0,40,1,53,0
13,0.0,40,0,28,1
14,0.0,40,0,37,1
5,0.0,16,0,49,1
9,0.0,45,1,52,0
14,1092.8412024287468,50,0,31,2
13,1092.8412024287468,40,1,42,3
10,0.0,80,1,37,0
13,0.0,40,1,30,0
13,0.0,30,0,23,1
12,0.0,50,1,32,0
4,0.0,45,1,34,0
9,0.0,35,1,25,0
9,0.0,40,1,32,0
7,0.0,50,1,38,0
14,0.0,45,0,43,1
16,0.0,60,1,40,0
9,0.0,20,0,54,1
5,0.0,40,1,35,0
7,0.0,40,1,43,0
9,0.0,40,0,59,1
13,0.0,40,1,56,0
9,0.0,40,1,19,0
9,0.0,80,1,39,0
9,0.0,40,1,49,0
12,0.0,52,1,23,0
10,0.0,44,1,20,0
13,0.0,40,1,45,0
10,0.0,40,1,30,0
10,0.0,15,1,22,0
7,0.0,40,1,48,0
10,0.0,40,1,21,0
9,0.0,25,0,19,1
12,0.0,40,1,48,0
5,0.0,43,1,31,0
13,0.0,40,1,53,0
13,0.0,50,1,24,0
9,0.0,40,0,49,1
9,0.0,35,1,25,0
13,0.0,40,1,57,0
9,0.0,38,1,53,0
14,0.0,40,0,44,1
11,0.0,40,1,41,0
11,0.0,43,1,29,0
10,0.0,40,0,25,1
15,0.0,60,0,47,1
13,0.0,55,1,50,0
9,0.0,60,1,47,0
10,0.0,40,1,43,0
3,0.0,40,1,46,0
11,0.0,40,1,35,0
9,0.0,48,1,41,0
9,1092.8412024287468,40,1,30,3
13,1092.8412024287468,40,1,30,3
9,0.0,40,1,48,0
16,0.0,45,1,42,0
10,0.0,58,1,29,0
9,0.0,40,1,36,0
10,0.0,40,0,28,1
9,0.0,40,0,53,1
10,0.0,50,1,49,0
10,0.0,32,1,19,0
13,0.0,40,0,31,1
13,0.0,70,1,29,0
10,0.0,40,1,23,0
10,0.0,20,1,79,0
9,0.0,40,1,27,0
12,0.0,40,1,40,0
7,0.0,22,0,18,1
4,0.0,40,1,31,0
9,0.0,30,1,18,0
13,0.0,40,1,52,0
9,0.0,40,0,46,1
9,0.0,48,1,59,0
9,1092.8412024287468,40,0,44,2
9,0.0,35,0,53,1
9,0.0,40,1,49,0
14,0.0,50,1,33,0
5,0.0,40,1,30,0
16,0.0,50,0,43,1
11,0.0,40,1,57,0
10,0.0,40,0,37,1
10,0.0,25,0,28,1
13,0.0,40,1,34,0
10,0.0,50,1,29,0
16,0.0,60,1,48,0
10,0.0,48,1,37,0
12,0.0,40,0,48,1
9,0.0,40,1,32,0
14,0.0,40,1,76,0
13,1092.8412024287468,60,1,44,3
14,0.0,50,0,47,1
10,0.0,40,0,20,1
9,0.0,40,1,29,0
9,1092.8412024287468,40,1,32,3
7,0.0,40,1,30,0
9,0.0,40,0,31,1
9,0.0,40,1,42,0
13,0.0,40,1,24,0
15,0.0,40,1,38,0
9,0.0,50,1,56,0
10,1092.8412024287468,25,0,28,2
9,0.0,40,0,36,1
5,0.0,50,1,53,0
10,0.0,50,1,56,0
11,0.0,40,1,49,0
10,0.0,56,1,55,0
9,0.0,41,1,22,0
10,0.0,40,0,21,1
13,0.0,60,1,40,0
13,0.0,40,1,30,0
13,0.0,50,1,29,0
10,0.0,35,1,19,0
13,0.0,40,0,47,1
10,0.0,28,0,20,1
12,0.0,40,1,31,0
10,0.0,40,1,39,0
12,0.0,60,0,28,1
9,0.0,40,0,24,1
9,1092.8412024287468,35,1,38,3
13,0.0,50,1,37,0
12,0.0,36,0,46,1
14,0.0,40,1,38,0
9,0.0,60,1,43,0
11,0.0,35,0,27,1
10,0.0,20,1,20,0
10,0.0,40,1,49,0
9,0.0,40,1,61,0
10,0.0,40,0,27,1
10,0.0,30,1,19,0
11,0.0,40,0,45,1
10,0.0,40,1,70,0
9,0.0,30,0,31,1
10,0.0,24,1,22,0
9,0.0,24,0,36,1
7,0.0,40,1,64,0
10,0.0,38,0,47,1
9,0.0,40,0,34,1
13,0.0,40,0,33,1
9,0.0,35,1,21,0
9,0.0,46,1,48,0
13,0.0,40,1,23,0
10,0.0,2,1,71,0
9,0.0,60,1,29,0
13,0.0,50,1,42,0
9,0.0,40,0,25,1
14,0.0,40,0,44,1
9,0.0,40,0,28,1
14,0.0,40,1,45,0
10,0.0,40,0,36,1
12,0.0,42,1,39,0
14,0.0,40,1,46,0
7,0.0,16,1,18,0
11,0.0,20,0,66,1
9,0.0,40,1,27,0
9,0.0,40,1,28,0
10,0.0,40,1,51,0
13,0.0,50,1,27,0
